商品ID,商品規格ID,親規格組合わせID,規格組合わせID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,f,在庫無制限フラグ,購入制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
500418,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 6畳程度 シングル,1,,"XCS-B221CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 6畳程度 シングル 単相200V ワイヤレス｜販売価格:353,808｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 6畳程度<br>シングル 単相200V ワイヤレス,XCS-B221CC2-S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b221cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 6畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b221cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b221cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B221CC2 x 1<br />室外機：CU-B221CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT11-M x 1<br /></div>",,,,,,,2,0,1,XCS-B221CC2-S-wood,,1,,336960,336960,,0,,,,,,,,,,,,,,,,,"200201,210003",
500419,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 8畳程度 シングル,1,,"XCS-B251CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 8畳程度 シングル 単相200V ワイヤレス｜販売価格:351,540｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 8畳程度<br>シングル 単相200V ワイヤレス,XCS-B251CC2-S,"ホワイト,ライトブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b251cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 8畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b251cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b251cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel3.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B251CC2 x 1<br />室外機：CU-B251CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT10-W x 1<br /></div>",,,,,,,2,0,1,XCS-B251CC2-S,,1,,334800,334800,,0,,,,,,,,,,,,,,,,,"200201,210004",
500420,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 8畳程度 シングル,1,,"XCS-B251CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 8畳程度 シングル 単相200V ワイヤレス｜販売価格:365,148｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 8畳程度<br>シングル 単相200V ワイヤレス,XCS-B251CC2-S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b251cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 8畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b251cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b251cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B251CC2 x 1<br />室外機：CU-B251CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT11-M x 1<br /></div>",,,,,,,2,0,1,XCS-B251CC2-S-wood,,1,,347760,347760,,0,,,,,,,,,,,,,,,,,"200201,210004",
500421,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 10畳程度 シングル,1,,"XCS-B281CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 10畳程度 シングル 単相200V ワイヤレス｜販売価格:374,220｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 10畳程度<br>シングル 単相200V ワイヤレス,XCS-B281CC2-S,"ホワイト,ライトブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b281cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 10畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b281cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b281cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel3.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B281CC2 x 1<br />室外機：CU-B281CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT10-W x 1<br /></div>",,,,,,,2,0,1,XCS-B281CC2-S,,1,,356400,356400,,0,,,,,,,,,,,,,,,,,"200201,210005",
500422,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 10畳程度 シングル,1,,"XCS-B281CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 10畳程度 シングル 単相200V ワイヤレス｜販売価格:387,828｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 10畳程度<br>シングル 単相200V ワイヤレス,XCS-B281CC2-S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b281cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 10畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b281cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b281cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B281CC2 x 1<br />室外機：CU-B281CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT11-M x 1<br /></div>",,,,,,,2,0,1,XCS-B281CC2-S-wood,,1,,369360,369360,,0,,,,,,,,,,,,,,,,,"200201,210005",
500423,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 12畳程度 シングル,1,,"XCS-B361CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 12畳程度 シングル 単相200V ワイヤレス｜販売価格:408,240｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 12畳程度<br>シングル 単相200V ワイヤレス,XCS-B361CC2-S,"ホワイト,ライトブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b361cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 12畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b361cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b361cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel3.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B361CC2 x 1<br />室外機：CU-B361CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT10-W x 1<br /></div>",,,,,,,2,0,1,XCS-B361CC2-S,,1,,388800,388800,,0,,,,,,,,,,,,,,,,,"200201,210006",
500424,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 12畳程度 シングル,1,,"XCS-B361CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 12畳程度 シングル 単相200V ワイヤレス｜販売価格:421,848｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 12畳程度<br>シングル 単相200V ワイヤレス,XCS-B361CC2-S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b361cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 12畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b361cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b361cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B361CC2 x 1<br />室外機：CU-B361CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT11-M x 1<br /></div>",,,,,,,2,0,1,XCS-B361CC2-S-wood,,1,,401760,401760,,0,,,,,,,,,,,,,,,,,"200201,210006",
500425,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 14畳程度 シングル,1,,"XCS-B401CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 14畳程度 シングル 単相200V ワイヤレス｜販売価格:470,610｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 14畳程度<br>シングル 単相200V ワイヤレス,XCS-B401CC2-S,"ホワイト,ライトブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b401cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 14畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b401cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b401cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel3.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B401CC2 x 1<br />室外機：CU-B401CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT10-W x 1<br /></div>",,,,,,,2,0,1,XCS-B401CC2-S,,1,,448200,448200,,0,,,,,,,,,,,,,,,,,"200201,210007",
500426,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 14畳程度 シングル,1,,"XCS-B401CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 14畳程度 シングル 単相200V ワイヤレス｜販売価格:484,218｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 14畳程度<br>シングル 単相200V ワイヤレス,XCS-B401CC2-S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b401cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 14畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b401cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b401cg2.jpg,,,,panasonic_housing/201403/sub/rc1.jpg,,,,panasonic_housing/201403/sub/panel2.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B401CC2 x 1<br />室外機：CU-B401CG2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT11-M x 1<br /></div>",,,,,,,2,0,1,XCS-B401CC2-S-wood,,1,,461160,461160,,0,,,,,,,,,,,,,,,,,"200201,210007",
500427,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 16畳程度 シングル,1,,"XCS-B502CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 16畳程度 シングル 単相200V ワイヤレス｜販売価格:638,442｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 16畳程度<br>シングル 単相200V ワイヤレス,XCS-B502CC2-S,"フレッシュホワイト,ホワイト,ブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b502cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 16畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b502cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b502cc2.jpg,,,,panasonic_housing/201403/sub/rc2.jpg,,,,panasonic_housing/201403/sub/panel5.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B502CC2 x 1<br />室外機：CU-B502CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT21-WF x 1<br /></div>",,,,,,,2,0,1,XCS-B502CC2-S,,1,,608040,608040,,0,,,,,,,,,,,,,,,,,"200201,210010",
500428,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 16畳程度 シングル,1,,"XCS-B502CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 16畳程度 シングル 単相200V ワイヤレス｜販売価格:649,782｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 16畳程度<br>シングル 単相200V ワイヤレス,XCS-B502CC2-S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b502cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 16畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b502cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b502cc2.jpg,,,,panasonic_housing/201403/sub/rc2.jpg,,,,panasonic_housing/201403/sub/panel6.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B502CC2 x 1<br />室外機：CU-B502CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT21-M x 1<br /></div>",,,,,,,2,0,1,XCS-B502CC2-S-wood,,1,,618840,618840,,0,,,,,,,,,,,,,,,,,"200201,210010",
500429,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 18畳程度 シングル,1,,"XCS-B562CC2/S｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 18畳程度 シングル 単相200V ワイヤレス｜販売価格:751,842｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 18畳程度<br>シングル 単相200V ワイヤレス,XCS-B562CC2-S,"フレッシュホワイト,ホワイト,ブラウン",,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b562cc2-s.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 18畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b562cc2-s.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b562cc2.jpg,,,,panasonic_housing/201403/sub/rc2.jpg,,,,panasonic_housing/201403/sub/panel5.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B562CC2 x 1<br />室外機：CU-B562CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT21-WF x 1<br /></div>",,,,,,,2,0,1,XCS-B562CC2-S,,1,,716040,716040,,0,,,,,,,,,,,,,,,,,"200201,210014",
500430,,,,,,,,6,パナソニック,【パナソニック】 天井ビルトイン1方向タイプ 18畳程度 シングル,1,,"XCS-B562CC2/S-wood｜【パナソニック ハウジングエアコン】 天井ビルトイン1方向タイプ 18畳程度 シングル 単相200V ワイヤレス｜販売価格:763,182｜「東京空調センター」では、ハウジングエアコンを驚きの価格でご提供いたします。日本全国送料無料です。",【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 18畳程度<br>シングル 単相200V ワイヤレス,XCS-B562CC2-S-wood,木目調,,,"<img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t200.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless.png"">",panasonic_housing/201403/xcs-b562cc2-s-wood.jpg,"【パナソニック ハウジングエアコン】<br>天井ビルトイン1方向タイプ 18畳程度<br>シングル 単相200V ワイヤレス<br /><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-t2002.png""><img src=""http://www.tokyo-aircon.net/images/ind_aircon/ind-wireless2.png"">",panasonic_housing/201403/xcs-b562cc2-s-wood.jpg,,,"<ul><li><font style=""color:red;"">※パネルタイプをお選び下さい</font></li><li><font style=""color: red;"">※パネル・リモコンを含んだ金額になります</font></li><li>※全国送料無料（一部地域を除く）</li><li>※メーカー1年保証付き</li></ul>",,panasonic_housing/201403/sub/cu-b562cc2.jpg,,,,panasonic_housing/201403/sub/rc2.jpg,,,,panasonic_housing/201403/sub/panel6.jpg,,"<div class=""set"">▼セット内容<br />室内機：CS-B562CC2 x 1<br />室外機：CU-B562CC2 x 1<br />リモコン：同梱リモコン x 1<br />パネル：CZ-BT21-M x 1<br /></div>",,,,,,,2,0,1,XCS-B562CC2-S-wood,,1,,726840,726840,,0,,,,,,,,,,,,,,,,,"200201,210014",
